trial,candidate_key,status,overall_mean,period_stddev,peak_period_att,high_period_count,elapsed_seconds,return_code,trial_dir,error,enable_custom_berth_priority,enable_schedule_aware_booking,enable_hub_transfer_consolidation,enable_initial_time_routing,enable_controlled_alternative_routes,enable_in_transit_replanning,suppress_kaohsiung_s2_detour
26,753a3e058ccb94f093977d1ebe0350e1b8ea10a6,success,20.03,1.09,23.49,14,875.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00026_753a3e058c,,1.0,1.0,1.0,1.0,0.0,0.0,1.0
27,bcd33ec8f7fd6e302ac799b69eac092870540955,success,24.65,4.29,31.71,52,895.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00027_bcd33ec8f7,,1.0,1.0,1.0,0.0,1.0,1.0,0.0
28,69899281ead77348ce89400e04110442c0068cc3,success,20.03,1.09,23.49,14,870.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00028_69899281ea,,1.0,1.0,1.0,0.0,1.0,0.0,1.0
29,9d254bfbd7688e064eaf207cb67ec1f61dfb3ea9,success,20.06,1.05,23.41,13,895.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00029_9d254bfbd7,,1.0,1.0,1.0,0.0,0.0,1.0,1.0
30,b181c7275f5c029e90946e081aed3284a56fb7f8,success,20.6,1.4,24.64,28,830.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00030_b181c7275f,,1.0,0.0,0.0,0.0,1.0,1.0,1.0
31,1fa9bfb4900ea4ec8fcf0da91712db32cb4637e2,success,34.78,13.31,59.67,53,765.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00031_1fa9bfb490,,1.0,0.0,0.0,1.0,1.0,1.0,0.0
32,2691667dac4c676dad032212684b07c0eec83745,success,22.51,2.69,27.21,49,760.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00032_2691667dac,,0.0,0.0,1.0,1.0,1.0,1.0,1.0
33,fba7b894ec4a66b565f2e744ccf5f26d7e877aa4,success,20.01,1.06,23.52,14,875.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00033_fba7b894ec,,0.0,1.0,1.0,1.0,0.0,0.0,1.0
34,cb415dfeddf8c468891bcf31d31c51af0458a8ef,success,32.08,11.14,52.73,52,740.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00034_cb415dfedd,,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35,62a7dddffdd69cb4ba86f82742153e0adc842174,success,22.51,2.69,27.21,49,760.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00035_62a7dddffd,,0.0,0.0,0.0,1.0,1.0,1.0,1.0
36,b3d19d6b524ec23423d84e1a1feacae80c012e1b,success,32.04,11.1,52.6,52,745.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00036_b3d19d6b52,,0.0,0.0,0.0,1.0,1.0,0.0,0.0
37,fb82451d87d4795c65279e33eefd26d7fd1f6a28,success,24.73,4.35,31.79,52,900.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00037_fb82451d87,,0.0,1.0,1.0,1.0,0.0,1.0,0.0
38,7f56ab3ce2ed1383b640435e4eb7d1a00c40566c,success,20.45,1.35,24.63,23,805.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00038_7f56ab3ce2,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
39,50a9828a1ca70d03dfc07a5a6c7bd62452944bc3,success,20.06,1.05,23.41,13,890.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00039_50a9828a1c,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,e456be11209958afa38608ca39b32498c65853df,success,34.76,13.15,58.34,53,765.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00040_e456be1120,,0.0,0.0,1.0,1.0,1.0,1.0,0.0
41,e78fdda9befb400c05b961db26f9f8f74222d7ca,success,24.73,4.35,31.79,52,905.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00041_e78fdda9be,,0.0,1.0,1.0,0.0,1.0,1.0,0.0
42,01c4d28ae681271ef424d97122fcc026011820d5,success,20.06,1.1,23.42,16,890.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00042_01c4d28ae6,,0.0,1.0,1.0,1.0,0.0,1.0,1.0
43,8eaea49e8a9fe6657510acade7c16f8b710ee05c,success,20.6,1.4,24.64,28,835.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00043_8eaea49e8a,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
44,876088c0fac901aa3093724127f647d9338f91ab,success,20.45,1.35,24.63,23,805.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00044_876088c0fa,,1.0,1.0,0.0,1.0,0.0,0.0,1.0
45,9894c57ee0f230b8df401a7bf7d78f23f10a97cf,success,32.04,11.1,52.6,52,745.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00045_9894c57ee0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0
46,8b682d332e644949d9d6150cef5daaeefe8caf46,success,20.45,1.35,24.63,23,810.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00046_8b682d332e,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,37084be80947f8b0593b8a8bd3f6574e8458bb08,success,20.45,1.35,24.63,23,810.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00047_37084be809,,1.0,1.0,0.0,1.0,1.0,0.0,1.0
48,e883ad9e1cee6c55ebabf482802722abdb8b3203,success,20.45,1.35,24.63,23,810.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00048_e883ad9e1c,,0.0,1.0,0.0,1.0,0.0,0.0,1.0
49,7c6df1a2dd2db1de54c53f0d6758536335fefb95,success,20.45,1.35,24.63,23,815.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00049_7c6df1a2dd,,1.0,0.0,1.0,0.0,1.0,0.0,1.0
50,5e72c1918824f0c8e22f7e4cb8829b397d672a99,success,34.78,13.31,59.67,53,775.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00050_5e72c19188,,1.0,0.0,1.0,1.0,1.0,1.0,0.0
51,aa00ab4ffd3c66c825d1fdf6f23ef54ca8044b8c,success,22.42,2.62,26.83,49,750.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00051_aa00ab4ffd,,0.0,0.0,1.0,1.0,1.0,0.0,1.0
52,5a67731b618779f00ca96da3c1e6b768f9fd9dbe,interrupted,,,,,319.17,,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00052_5a67731b61,Interrupted by Ctrl+C.,0.0,1.0,0.0,1.0,1.0,1.0,1.0
